Calendar Year,Grouper,Birth Characteristic,Geographic Region, Number of Births , Annotation Code , Annotation Description 
2007,Maternal Race/Ethnicity,White,Bay Area,3770,,
2007,Maternal Race/Ethnicity,White,Central Coast,1936,,
2007,Maternal Race/Ethnicity,White,Central Valley,6887,,
2007,Maternal Race/Ethnicity,White,Far North,1205,,
2007,Maternal Race/Ethnicity,White,Los Angeles,4672,,
2007,Maternal Race/Ethnicity,White,North Coast,1325,,
2007,Maternal Race/Ethnicity,White,Sacramento Valley,4794,,
2007,Maternal Race/Ethnicity,White,Sierra Range/Foothills,1746,,
2007,Maternal Race/Ethnicity,White,Southern California,8945,,
2007,Maternal Race/Ethnicity,White,Invalid Code,34,,
2007,Maternal Race/Ethnicity,African-American,Bay Area,3418,,
2007,Maternal Race/Ethnicity,African-American,Central Coast,160,,
2007,Maternal Race/Ethnicity,African-American,Central Valley,2154,,
2007,Maternal Race/Ethnicity,African-American,Far North,31,,
2007,Maternal Race/Ethnicity,African-American,Los Angeles,6887,,
2007,Maternal Race/Ethnicity,African-American,North Coast,28,,
2007,Maternal Race/Ethnicity,African-American,Sacramento Valley,1624,,
2007,Maternal Race/Ethnicity,African-American,Sierra Range/Foothills,25,,
2007,Maternal Race/Ethnicity,African-American,Southern California,3813,,
2007,Maternal Race/Ethnicity,African-American,Invalid Code,15,,
2007,Maternal Race/Ethnicity,Hispanic,Bay Area,20098,,
2007,Maternal Race/Ethnicity,Hispanic,Central Coast,14550,,
2007,Maternal Race/Ethnicity,Hispanic,Central Valley,31284,,
2007,Maternal Race/Ethnicity,Hispanic,Far North,233,,
2007,Maternal Race/Ethnicity,Hispanic,Los Angeles,65782,,
2007,Maternal Race/Ethnicity,Hispanic,North Coast,690,,
2007,Maternal Race/Ethnicity,Hispanic,Sacramento Valley,6232,,
2007,Maternal Race/Ethnicity,Hispanic,Sierra Range/Foothills,1043,,
2007,Maternal Race/Ethnicity,Hispanic,Southern California,52523,,
2007,Maternal Race/Ethnicity,Hispanic,Invalid Code,185,,
2007,Maternal Race/Ethnicity,Asian,Bay Area,3349,,
2007,Maternal Race/Ethnicity,Asian,Central Coast,244,,
2007,Maternal Race/Ethnicity,Asian,Central Valley,2473,,
2007,Maternal Race/Ethnicity,Asian,Far North,44,,
2007,Maternal Race/Ethnicity,Asian,Los Angeles,3657,,
2007,Maternal Race/Ethnicity,Asian,North Coast,60,,
2007,Maternal Race/Ethnicity,Asian,Sacramento Valley,1603,,
2007,Maternal Race/Ethnicity,Asian,Sierra Range/Foothills,57,,
2007,Maternal Race/Ethnicity,Asian,Southern California,2584,,
2007,Maternal Race/Ethnicity,Asian,Invalid Code,12,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Bay Area,401,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Coast,34,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Valley,76,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Los Angeles,251,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sacramento Valley,163,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Southern California,323,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Invalid Code,2,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Bay Area,110,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Central Coast,35,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Central Valley,220,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Far North,86,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Los Angeles,102,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,North Coast,176,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Sacramento Valley,158,,
2007,Maternal Race/Ethnicity,American Indian/Alaskan Native,Sierra Range/Foothills,62,,
