,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
413,06037141700,Sherman Oaks,250001.0,1242.0,3096.0,210.0,2886.0,2701.0,2386.0,69.0,2.0,226.0
989,06037262100,Bel Air,250001.0,1071.0,3195.0,171.0,3024.0,2855.0,2515.0,44.0,1.0,269.0
994,06037262400,Mandeville Canyon,250001.0,1101.0,3242.0,215.0,3027.0,2879.0,2620.0,43.0,4.0,194.0
993,06037262303,Brentwood,250001.0,1063.0,3157.0,166.0,2991.0,2844.0,2587.0,49.0,0.0,196.0
1191,06037980019,Palisades Highlands,250001.0,37.0,128.0,26.0,102.0,90.0,80.0,5.0,0.0,5.0
995,06037262501,Pacific Palisades,246750.0,1335.0,3741.0,228.0,3513.0,3332.0,3120.0,20.0,1.0,165.0
991,06037262301,Brentwood,231188.0,809.0,2778.0,339.0,2439.0,2336.0,1892.0,58.0,5.0,360.0
549,06037194300,Hollywood,228836.0,1389.0,2972.0,238.0,2734.0,2559.0,2312.0,86.0,4.0,143.0
987,06037261104,Beverly Crest,217396.0,633.0,1638.0,123.0,1515.0,1438.0,1249.0,39.0,5.0,128.0
397,06037139705,Encino,208381.0,1291.0,3643.0,203.0,3440.0,3233.0,2914.0,47.0,0.0,253.0
432,06037143901,Studio City,204653.0,1625.0,4319.0,339.0,3980.0,3734.0,3292.0,100.0,5.0,301.0
1048,06037269500,Beverlywood,204583.0,1335.0,4262.0,235.0,4027.0,3840.0,3456.0,44.0,3.0,275.0
986,06037261103,Beverly Crest,202266.0,709.0,1880.0,110.0,1770.0,1657.0,1513.0,39.0,1.0,85.0
996,06037262601,Palisades Highlands,201094.0,1290.0,3783.0,218.0,3565.0,3360.0,2946.0,27.0,0.0,365.0
992,06037262302,Brentwood,200781.0,1324.0,2870.0,182.0,2688.0,2551.0,2323.0,29.0,0.0,171.0
1019,06037265420,Westwood,200179.0,656.0,1887.0,122.0,1765.0,1664.0,1366.0,43.0,0.0,250.0
1001,06037264000,Brentwood,196250.0,1257.0,3284.0,144.0,3140.0,2936.0,2743.0,14.0,0.0,168.0
410,06037141500,Encino,195500.0,1080.0,3089.0,210.0,2879.0,2729.0,2444.0,47.0,2.0,226.0
1168,06037297001,San Pedro,195064.0,588.0,1662.0,426.0,1236.0,1163.0,1013.0,37.0,4.0,91.0
1047,06037269300,Cheviot Hills,193750.0,1490.0,4096.0,352.0,3744.0,3499.0,2947.0,55.0,2.0,469.0
548,06037194200,Hollywood,190671.0,1529.0,3596.0,292.0,3304.0,3116.0,2864.0,63.0,3.0,160.0
997,06037262604,Pacific Palisades,187500.0,2276.0,6116.0,356.0,5760.0,5419.0,4868.0,48.0,4.0,454.0
1000,06037262802,Pacific Palisades,182042.0,1307.0,3907.0,196.0,3711.0,3505.0,3254.0,25.0,7.0,187.0
988,06037261200,Beverly Crest,178750.0,1580.0,4329.0,304.0,4025.0,3770.0,3270.0,55.0,6.0,407.0
64,06037106643,Granada Hills,176429.0,1378.0,4084.0,530.0,3554.0,3399.0,2551.0,136.0,3.0,692.0
1112,06037276400,Westchester,175625.0,1432.0,4099.0,544.0,3555.0,3282.0,2640.0,105.0,5.0,500.0
1107,06037275604,Playa Vista,173569.0,4329.0,10520.0,1076.0,9444.0,8765.0,5631.0,709.0,11.0,2309.0
990,06037262200,Bel Air,173472.0,1672.0,4553.0,288.0,4265.0,3992.0,3355.0,106.0,0.0,481.0
412,06037141600,Sherman Oaks,169185.0,1780.0,4088.0,283.0,3805.0,3585.0,3211.0,50.0,0.0,304.0
411,06037141600,Encino,169185.0,1780.0,4088.0,283.0,3805.0,3585.0,3211.0,50.0,0.0,304.0
371,06037137301,Woodland Hills,166172.0,744.0,2238.0,294.0,1944.0,1832.0,1578.0,53.0,5.0,180.0
430,06037143801,Studio City,165227.0,1402.0,2926.0,297.0,2629.0,2453.0,2104.0,88.0,4.0,233.0
985,06037261102,Beverly Crest,164219.0,1487.0,4072.0,248.0,3824.0,3619.0,3244.0,87.0,1.0,258.0
377,06037137504,Woodland Hills,159464.0,677.0,1920.0,118.0,1802.0,1698.0,1531.0,51.0,0.0,105.0
396,06037139704,Encino,158750.0,954.0,2624.0,152.0,2472.0,2291.0,2035.0,52.0,8.0,185.0
999,06037262706,Pacific Palisades,158625.0,1343.0,3537.0,197.0,3340.0,3144.0,2919.0,17.0,3.0,176.0
399,06037139802,Tarzana,157656.0,1420.0,3858.0,260.0,3598.0,3449.0,3127.0,73.0,2.0,227.0
486,06037189300,Los Feliz,156827.0,1472.0,3216.0,275.0,2941.0,2761.0,2263.0,77.0,3.0,399.0
487,06037189400,Hollywood Hills,156161.0,1531.0,3575.0,336.0,3239.0,3012.0,2695.0,97.0,6.0,189.0
1097,06037274202,Marina Peninsula,155366.0,2324.0,4903.0,459.0,4444.0,4168.0,3604.0,197.0,2.0,320.0
100,06037113102,Chatsworth,154514.0,957.0,2971.0,545.0,2426.0,2322.0,1693.0,87.0,1.0,519.0
1120,06037277100,Westchester,154063.0,1078.0,3017.0,756.0,2261.0,2022.0,1440.0,108.0,1.0,439.0
1124,06037278102,Playa Del Rey,153654.0,1502.0,2958.0,362.0,2596.0,2400.0,2088.0,100.0,3.0,175.0
1182,06037670604,San Pedro,151538.0,1968.0,5356.0,589.0,4767.0,4482.0,3238.0,137.0,1.0,1067.0
383,06037139301,Woodland Hills,151406.0,1459.0,4692.0,595.0,4097.0,3848.0,3253.0,163.0,7.0,377.0
382,06037139301,Tarzana,151406.0,1459.0,4692.0,595.0,4097.0,3848.0,3253.0,163.0,7.0,377.0
91,06037111204,Porter Ranch,150732.0,1867.0,5865.0,1074.0,4791.0,4543.0,2927.0,198.0,9.0,1361.0
1196,06037980024,Encino,150313.0,73.0,226.0,28.0,198.0,192.0,145.0,22.0,0.0,23.0
74,06037108104,Porter Ranch,150125.0,575.0,1692.0,199.0,1493.0,1409.0,944.0,42.0,0.0,413.0
353,06037135102,Woodland Hills,150066.0,1252.0,3612.0,738.0,2874.0,2662.0,1993.0,154.0,4.0,461.0
352,06037135102,West Hills,150066.0,1252.0,3612.0,738.0,2874.0,2662.0,1993.0,154.0,4.0,461.0
338,06037134424,West Hills,149306.0,1020.0,2862.0,243.0,2619.0,2517.0,1890.0,74.0,0.0,540.0
387,06037139402,Tarzana,147500.0,966.0,2782.0,188.0,2594.0,2465.0,2264.0,51.0,0.0,132.0
394,06037139701,Encino,147500.0,2040.0,5438.0,453.0,4985.0,4722.0,4116.0,136.0,7.0,406.0
372,06037137302,Woodland Hills,146990.0,1578.0,4341.0,423.0,3918.0,3700.0,3092.0,104.0,4.0,463.0
740,06037214000,Melrose,146923.0,1320.0,3808.0,171.0,3637.0,3482.0,3218.0,36.0,2.0,143.0
365,06037135205,West Hills,146500.0,778.0,2342.0,177.0,2165.0,2018.0,1625.0,39.0,0.0,338.0
