OBJECTID,Geo_ID,Geo_Type,Geo_Name,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_RSE,Poor_health_EST,SHAPE_Length,SHAPE_Area
1,csa_city_agoura_hills,Incorporated City,City of Agoura Hills,,,,,,80376.2106904135,217931682.647763
2,csa_city_alhambra,Incorporated City,City of Alhambra,14.9,12.3,17.5,8.8219016834776,small area estimate,69016.5015221541,212764011.290309
3,csa_city_arcadia,Incorporated City,City of Arcadia,11.2,9.3,13.2,8.93839446931042,small area estimate,132149.401562509,309696288.929814
4,csa_city_artesia,Incorporated City,City of Artesia,,,,,,40904.9706551111,45210326.1260098
5,csa_city_azusa,Incorporated City,City of Azusa,14.3,12.1,16.5,7.78525256009525,small area estimate,158881.601593077,269205013.023516
6,csa_city_baldwin_park,Incorporated City,City of Baldwin Park,15.5,13.1,17.9,8.03144819219292,small area estimate,87241.4327414295,188966247.646703
7,csa_city_bell,Incorporated City,City of Bell,17.2,14,20.5,9.50715112433141,small area estimate,65552.3887578531,72979028.1605801
8,csa_city_bell_gardens,Incorporated City,City of Bell Gardens,17.8,14.5,21.1,9.5032637792313,small area estimate,38937.4207874778,68721941.4450139
9,csa_city_bellflower,Incorporated City,City of Bellflower,12.2,9.9,14.5,9.51738321317745,small area estimate,59306.6452245536,172370845.870059
10,csa_city_beverly_hills,Incorporated City,City of Beverly Hills,6.2,4.5,7.9,13.9172374819864,small area estimate,86925.7745809394,159282318.737776
11,csa_city_burbank,Incorporated City,City of Burbank,10.1,7.9,12.3,11.1425598880085,small area estimate,102151.39667723,483502845.636738
12,csa_city_calabasas,Incorporated City,City of Calabasas,5.7,3.8,7.5,16.5194742343716,small area estimate,149118.59294743,383613659.700805
13,csa_city_carson,Incorporated City,City of Carson,10.3,7.8,12.7,12.1578174342906,small area estimate,127677.51129757,528030737.770321
14,csa_city_cerritos,Incorporated City,City of Cerritos,8,5.8,10.3,14.3600567443624,small area estimate,119808.868298614,246787948.416372
15,csa_city_claremont,Incorporated City,City of Claremont,7.6,6.1,9.2,10.4278615517322,small area estimate,150112.20427125,375456745.789203
16,csa_city_commerce,Incorporated City,City of Commerce,,,,,,93390.8122905833,182719725.127801
17,csa_city_compton,Incorporated City,City of Compton,13.9,11,16.9,10.7747889119446,small area estimate,178008.102450657,281590253.832498
18,csa_city_covina,Incorporated City,City of Covina,12.5,10.6,14.5,7.86711250488221,small area estimate,186251.134749508,196344691.891492
19,csa_city_cudahy,Incorporated City,City of Cudahy,18.8,15.3,22.3,9.39525643066101,small area estimate,33729.8352374175,34266752.8019473
20,csa_city_culver_city,Incorporated City,City of Culver City,6.8,4.8,8.7,14.6331935404376,small area estimate,116908.970645141,143147615.002315
21,csa_city_downey,Incorporated City,City of Downey,10.2,8.1,12.2,10.2326790308745,small area estimate,90498.3366118424,350371541.490197
22,csa_city_duarte,Incorporated City,City of Duarte,12.7,10.7,14.6,7.88912046916396,small area estimate,111724.016609402,186485252.140027
23,csa_city_el_monte,Incorporated City,City of El Monte,19.9,16.9,23,7.75450169342967,small area estimate,106711.549443553,268040254.83978
24,csa_city_el_segundo,Incorporated City,City of El Segundo,,,,,,58347.6116957506,-151854294.433911
25,csa_city_gardena,Incorporated City,City of Gardena,14.4,11.6,17.2,9.87245882930799,small area estimate,65932.3950959737,163264681.762714
26,csa_city_glendale,Incorporated City,City of Glendale,11.9,9.1,14.7,11.9847984224852,small area estimate,190271.343931609,853230755.386185
27,csa_city_glendora,Incorporated City,City of Glendora,10.3,8.5,12.1,8.96664159817867,small area estimate,165505.670654358,547642777.479167
28,csa_city_hawaiian_gardens,Incorporated City,City of Hawaiian Gardens,,,,,,25783.8794644506,26648816.5457622
29,csa_city_hawthorne,Incorporated City,City of Hawthorne,14,11.3,16.7,9.86192904034661,small area estimate,110192.664599746,169585593.318254
30,csa_city_hermosa_beach,Incorporated City,City of Hermosa Beach,,,,,,29339.6193505165,-41501765.1410945
31,csa_city_hidden_hills,Incorporated City,City of Hidden Hills,,,,,,42751.6546627266,47048725.824076
32,csa_city_huntington_park,Incorporated City,City of Huntington Park,20.1,16.3,24,9.75082142431722,small area estimate,66385.785321566,84042752.634136
33,csa_city_industry,Incorporated City,City of Industry,,,,,,366510.398353747,335602039.205767
34,csa_city_inglewood,Incorporated City,City of Inglewood,13.3,10.7,15.9,9.94796801687987,small area estimate,90355.3942257997,253622393.68932
35,csa_city_irwindale,Incorporated City,City of Irwindale,,,,,,131459.742848379,268552437.941906
36,csa_city_la_canada_flintridge,Incorporated City,City of La Canada Flintridge,,,,,,92225.3470752999,241080484.796513
37,csa_city_la_habra_heights,Incorporated City,City of La Habra Heights,,,,,,69877.1472887861,171717013.597821
38,csa_city_la_mirada,Incorporated City,City of La Mirada,9.9,7.5,12.4,12.6335986922832,small area estimate,79833.8296120329,218800624.39489
39,csa_city_la_puente,Incorporated City,City of La Puente,14,11.5,16.6,9.30122259094411,small area estimate,86971.3574392473,96842502.297687
40,csa_city_la_verne,Incorporated City,City of La Verne,11,9,13,9.16903016857378,small area estimate,115480.591496627,237606827.324603
41,csa_city_lakewood,Incorporated City,City of Lakewood,8.2,6.2,10.2,12.3658331343728,small area estimate,124207.331738587,263528890.172463
42,csa_city_lancaster,Incorporated City,City of Lancaster,15.7,12.1,19.3,11.8018573265879,small area estimate,678436.664903309,2635029511.78662
43,csa_city_lawndale,Incorporated City,City of Lawndale,11.3,9.1,13.5,9.96698507476626,small area estimate,36899.7304205015,54863707.069597
44,csa_city_lomita,Incorporated City,City of Lomita,10.5,8.3,12.7,10.5611867716854,small area estimate,44939.4236054767,-53484538.8264352
45,csa_city_long_beach,Incorporated City,City of Long Beach,12.7,10.3,15.1,9.58478815454426,small area estimate,554574.211561498,-1443459669.66712
46,csa_city_lynwood,Incorporated City,City of Lynwood,13.8,11,16.7,10.4219831164172,small area estimate,72152.7827898819,135007235.461113
47,csa_city_manhattan_beach,Incorporated City,City of Manhattan Beach,3.8,2,5.5,23.7961604623529,small area estimate,48539.7715424029,-110933646.879679
48,csa_city_maywood,Incorporated City,City of Maywood,18.4,15,21.8,9.38074329343807,small area estimate,30088.7702755113,32839986.2056024
49,csa_city_montebello,Incorporated City,City of Montebello,12.1,9.6,14.5,10.3086684258592,small area estimate,99397.639077026,233323960.392811
50,csa_city_monterey_park,Incorporated City,City of Monterey Park,16.8,14.1,19.5,8.20133234041916,small area estimate,79691.1679475831,215688665.197958
51,csa_city_norwalk,Incorporated City,City of Norwalk,11.2,8.9,13.6,10.6071444732174,small area estimate,91643.1010271711,272018552.80806
52,csa_city_palmdale,Incorporated City,City of Palmdale,14.3,10.9,17.8,12.1319579226337,small area estimate,682806.060207971,2962799242.76502
53,csa_city_paramount,Incorporated City,City of Paramount,12.6,10.1,15,9.99289986335603,small area estimate,67994.9459555497,134398499.359609
54,csa_city_pasadena,Incorporated City,City of Pasadena,12.1,9.8,14.4,9.73982264597859,small area estimate,282711.360879147,644879965.85772
